SID,Var,m,l,u
DroCAN,b0,0.0122426245847325,0.011940426709210474,0.012544822460254528
DroCAN,b_lr0,-0.014860293304441937,-0.015034376279982444,-0.01468621032890143
DroCAN,rsd,0.0011707762759362228,NA,NA
RamARG,b0,0.02229263097259555,0.02197719441088972,0.02260806753430138
RamARG,b_lr0,-0.013422853729725666,-0.013639877554796932,-0.013205829904654399
RamARG,rsd,0.0021801131523837302,NA,NA
RamCRI,b0,-0.8248877143896649,-0.856546694957175,-0.7932287338221549
RamCRI,b_lr0,0.023798349664185113,0.002809385198243714,0.044787314130126515
RamCRI,rsd,0.6438995404466685,NA,NA
RamKOR,b0,0.001780589630124586,0.0016651360790098744,0.0018960431812392975
RamKOR,b_lr0,-0.015813487195631828,-0.015970125027099512,-0.015656849364164144
RamKOR,rsd,0.002467657787159721,NA,NA
RamMEX,b0,0.014795549209822094,0.014662059187087283,0.014929039232556904
RamMEX,b_lr0,-0.014785640436525123,-0.01497514675859094,-0.014596134114459305
RamMEX,rsd,0.0028439025273231697,NA,NA
RamTHA,b0,0.020212237356640645,0.019645916696955264,0.020778558016326026
RamTHA,b_lr0,-0.015605103143002095,-0.01586946708470311,-0.01534073920130108
RamTHA,rsd,0.0015101875950110297,NA,NA
RamTWN,b0,0.022711450253390667,0.022532885472224404,0.02289001503455693
RamTWN,b_lr0,-0.0154027358797138,-0.015553002877761032,-0.01525246888166657
RamTWN,rsd,0.0015051883254710388,NA,NA
ScottUK,b0,0.019934516995715253,0.01932491455793113,0.020544119433499375
ScottUK,b_lr0,-0.01673210223718971,-0.017150118968302215,-0.016314085506077207
ScottUK,rsd,0.0029045791239157613,NA,NA
VanNL,b0,0.012728776696813524,0.012696837859289132,0.012760715534337917
VanNL,b_lr0,-0.015058909289837307,-0.01515207032828083,-0.014965748251393785
VanNL,rsd,7.180511462936695e-4,NA,NA
Combined_pn,b0,0.0166482217976759,0.01647545383150018,0.01682098976385162
Combined_pn,b_lr0,-0.01549703922227829,-0.015619774986678572,-0.015374303457878009
Combined_pn,rsd,5.247155737241478e-4,NA,NA
Combined_ph,b0,0.01433580930013217,0.014130765855763986,0.014540852744500355
Combined_ph,b_lr0,-0.015431270460536127,-0.01555179798824982,-0.015310742932822434
Combined_ph,rsd,4.850803893246416e-4,NA,NA
Combined_base,b0,0.017673278653597333,0.01734375223532439,0.018002805071870277
Combined_base,b_lr0,-0.015172521614102192,-0.0153256040209712,-0.015019439207233184
Combined_base,rsd,7.11369787649e-4,NA,NA
