Cap,Age,Dur,QL00,QL15,QL35
Perfect health,50,128 (117 - 140),0.076 (0.069 - 0.085),0.076 (0.069 - 0.085),0.076 (0.068 - 0.084)
Perfect health,60,139 (131 - 148),0.082 (0.075 - 0.090),0.082 (0.074 - 0.089),0.081 (0.074 - 0.089)
Perfect health,70,152 (141 - 162),0.088 (0.080 - 0.097),0.088 (0.079 - 0.096),0.087 (0.079 - 0.096)
Perfect health,80,165 (148 - 183),0.095 (0.084 - 0.107),0.094 (0.083 - 0.106),0.094 (0.083 - 0.105)
Perfect health,90,179 (154 - 207),0.102 (0.087 - 0.119),0.101 (0.087 - 0.118),0.101 (0.086 - 0.117)
Population norm,50,119 (109 - 132),0.040 (0.036 - 0.045),0.040 (0.036 - 0.045),0.040 (0.036 - 0.044)
Population norm,60,127 (119 - 136),0.037 (0.034 - 0.041),0.037 (0.034 - 0.041),0.037 (0.034 - 0.041)
Population norm,70,135 (126 - 145),0.035 (0.031 - 0.038),0.035 (0.031 - 0.038),0.034 (0.031 - 0.038)
Population norm,80,144 (130 - 161),0.032 (0.028 - 0.036),0.032 (0.028 - 0.036),0.032 (0.028 - 0.035)
Population norm,90,154 (133 - 179),0.031 (0.026 - 0.036),0.031 (0.026 - 0.035),0.030 (0.026 - 0.035)
Pre-HZ baseline,50,119 (109 - 132),0.040 (0.036 - 0.045),0.040 (0.036 - 0.045),0.040 (0.036 - 0.044)
Pre-HZ baseline,60,127 (119 - 136),0.037 (0.034 - 0.041),0.037 (0.034 - 0.041),0.037 (0.034 - 0.041)
Pre-HZ baseline,70,135 (126 - 145),0.035 (0.031 - 0.038),0.035 (0.031 - 0.038),0.034 (0.031 - 0.038)
Pre-HZ baseline,80,144 (130 - 161),0.032 (0.028 - 0.036),0.032 (0.028 - 0.036),0.032 (0.028 - 0.035)
Pre-HZ baseline,90,154 (133 - 179),0.031 (0.026 - 0.036),0.031 (0.026 - 0.035),0.030 (0.026 - 0.035)
