Time,Q_1_M,Q_1_L,Q_1_U,Q_2_M,Q_2_L,Q_2_U,PZ_M,PZ_L,PZ_U,P_C1_M,P_C1_L,P_C1_U,P_C2_M,P_C2_L,P_C2_U,QE_M,QE_L,QE_U,QL_M,QL_L,QL_U,Batch,Set
0,0.7733981742318579,0.763613095416231,0.7838338235143326,0.19906315847985656,0.18007975105269555,0.21698558294202536,0.11040128346884759,0.06892110680830785,0.1645814164332051,0.6749653524771153,0.6040308009616706,0.739444082272386,0.21300619142933258,0.15968400204739588,0.27664080858100837,0.5645836689946351,0.5156900268066104,0.6087936724056493,0.4354163310053649,0.3912063275943507,0.48430997319338964,s1,2gp
14,0.7733981742318579,0.763613095416231,0.7838338235143326,0.19906315847985656,0.18007975105269555,0.21698558294202536,0.11040128346884759,0.06892110680830785,0.1645814164332051,0.6749653524771153,0.6040308009616706,0.739444082272386,0.21300619142933258,0.15968400204739588,0.27664080858100837,0.5645836689946351,0.5156900268066104,0.6087936724056493,0.4354163310053649,0.3912063275943507,0.48430997319338964,s1,2gp
30,0.7733981742318579,0.763613095416231,0.7838338235143326,0.19906315847985656,0.18007975105269555,0.21698558294202536,0.10961446111473803,0.07140012369621158,0.1597126462313813,0.7120217438332391,0.6443496407582847,0.7716984168183073,0.17692816605488654,0.12867544452276608,0.23594732508036798,0.5858053654413186,0.5394285948144396,0.6250619511036255,0.41419463455868144,0.3749380488963745,0.46057140518556033,s1,2gp
60,0.7733981742318579,0.763613095416231,0.7838338235143326,0.19906315847985656,0.18007975105269555,0.21698558294202536,0.11621875816895996,0.07369782691970513,0.17296362704435567,0.7590523657841448,0.693339088518374,0.8176530664864694,0.1225889915575793,0.07997902703681628,0.17288681140220574,0.6123024970205664,0.56447885995426,0.6522284867065797,0.3876975029794336,0.34777151329342015,0.43552114004573994,s1,2gp
90,0.7733981742318579,0.763613095416231,0.7838338235143326,0.19906315847985656,0.18007975105269555,0.21698558294202536,0.11621875816895996,0.07369782691970513,0.17296362704435567,0.7590523657841448,0.693339088518374,0.8176530664864694,0.1225889915575793,0.07997902703681628,0.17288681140220574,0.6123024970205664,0.56447885995426,0.6522284867065797,0.3876975029794336,0.34777151329342015,0.43552114004573994,s1,2gp
0,0.7796535499056259,0.7696850154458342,0.7887877268379699,0.20751589658948932,0.19119112412007414,0.22395657960112986,0.16486522178002766,0.1170731011418195,0.21968736015234389,0.6292668086422213,0.5633100253921561,0.6911996580332329,0.20494957708920963,0.1549277330570866,0.26179108548531616,0.5333218531825341,0.48572558749246025,0.5761300238965719,0.4666781468174659,0.42386997610342814,0.5142744125075398,s10,2gp
14,0.7796535499056259,0.7696850154458342,0.7887877268379699,0.20751589658948932,0.19119112412007414,0.22395657960112986,0.16486522178002766,0.1170731011418195,0.21968736015234389,0.6292668086422213,0.5633100253921561,0.6911996580332329,0.20494957708920963,0.1549277330570866,0.26179108548531616,0.5333218531825341,0.48572558749246025,0.5761300238965719,0.4666781468174659,0.42386997610342814,0.5142744125075398,s10,2gp
30,0.7796535499056259,0.7696850154458342,0.7887877268379699,0.20751589658948932,0.19119112412007414,0.22395657960112986,0.10404927668297526,0.0655395595813617,0.15279816379592032,0.668469527246883,0.5957615857519228,0.7400323022462032,0.22578906831417822,0.16301968670680583,0.293735939841698,0.5678805185831312,0.5212987295125492,0.6133715025227416,0.43211948141686884,0.38662849747725836,0.4787012704874508,s10,2gp
60,0.7796535499056259,0.7696850154458342,0.7887877268379699,0.20751589658948932,0.19119112412007414,0.22395657960112986,0.1133142170419428,0.06851155525224281,0.16869629678176534,0.777313342612175,0.709727849730419,0.8339534892024157,0.10865972422769171,0.07005301643490668,0.16068491553381575,0.6281068130793437,0.5812731291019381,0.6687985143840048,0.37189318692065626,0.3312014856159951,0.418726870898062,s10,2gp
90,0.7796535499056259,0.7696850154458342,0.7887877268379699,0.20751589658948932,0.19119112412007414,0.22395657960112986,0.1133142170419428,0.06851155525224281,0.16869629678176534,0.777313342612175,0.709727849730419,0.8339534892024157,0.10865972422769171,0.07005301643490668,0.16068491553381575,0.6281068130793437,0.5812731291019381,0.6687985143840048,0.37189318692065626,0.3312014856159951,0.418726870898062,s10,2gp
0,0.7866221948543306,0.7763895176428804,0.7965151663525659,0.19631756049713533,0.17680352350349304,0.21500976629809232,0.14226936508714272,0.09617443973605895,0.19961165834698008,0.6756031333291781,0.6038350280168528,0.7429480043918418,0.18049510388685208,0.12890573472372194,0.23955341722576998,0.5669120528137996,0.5176050195508516,0.6134599549744153,0.4330879471862004,0.38654004502558464,0.48239498044914847,s2,2gp
14,0.7866221948543306,0.7763895176428804,0.7965151663525659,0.19631756049713533,0.17680352350349304,0.21500976629809232,0.14226936508714272,0.09617443973605895,0.19961165834698008,0.6756031333291781,0.6038350280168528,0.7429480043918418,0.18049510388685208,0.12890573472372194,0.23955341722576998,0.5669120528137996,0.5176050195508516,0.6134599549744153,0.4330879471862004,0.38654004502558464,0.48239498044914847,s2,2gp
30,0.7866221948543306,0.7763895176428804,0.7965151663525659,0.19631756049713533,0.17680352350349304,0.21500976629809232,0.13955614890386667,0.09507893946875147,0.19565785833067137,0.6986825600047204,0.6326802917901433,0.7640832415684533,0.1597025119396332,0.11413754420333383,0.21717045352142453,0.5808868343491287,0.5346933663365773,0.6268120183374787,0.41911316565087137,0.37318798166252126,0.4653066336634228,s2,2gp
60,0.7866221948543306,0.7763895176428804,0.7965151663525659,0.19631756049713533,0.17680352350349304,0.21500976629809232,0.1257899217964337,0.07893050312345992,0.18418589956237819,0.7465994041967903,0.6807742784997635,0.8083517599731346,0.12438893109123178,0.08328667147378621,0.1760450168493084,0.6125713717083222,0.5634965012176739,0.6561837541829434,0.3874286282916778,0.3438162458170566,0.4365034987823261,s2,2gp
90,0.7866221948543306,0.7763895176428804,0.7965151663525659,0.19631756049713533,0.17680352350349304,0.21500976629809232,0.1257899217964337,0.07893050312345992,0.18418589956237819,0.7465994041967903,0.6807742784997635,0.8083517599731346,0.12438893109123178,0.08328667147378621,0.1760450168493084,0.6125713717083222,0.5634965012176739,0.6561837541829434,0.3874286282916778,0.3438162458170566,0.4365034987823261,s2,2gp
