Model,Var,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
C1,bg[1],-0.04247375347610166,2.3418006678283413e-4,0.013047617762517554,-0.06784231691060602,-0.051250810405794024,-0.04224464862890361,-0.03371085087181888,-0.017188262413044452,3104.2922423454233,0.9991271100910242
C1,bg[2],-0.06982488711309123,4.952968373762156e-4,0.030796832526444856,-0.12885151366387518,-0.0908311939742756,-0.069409153033557075,-0.049004673729853676,-0.008305441591289467,3866.1704126589,0.9998069069109485
C1,bg[3],-0.21866451316819618,8.132214509398052e-4,0.04643609089482395,-0.30814089253771215,-0.25011014765597905,-0.21948661575137723,-0.18770770289216274,-0.12947817128821337,3260.570940278356,0.9997229136279343
C1,bg[4],-0.07029555025236568,4.4495328109379277e-4,0.02579962178999932,-0.12267500268157396,-0.0876008655409358,-0.06980193976940416,-0.05284359701367971,-0.020235760449353296,3362.0011038585462,0.9984323270422668
C1,bg[5],0.03983602982563581,6.530922779478134e-4,0.04052071720603398,-0.04010378442044872,0.012015214322039952,0.04027186625673199,0.06679098735508271,0.11895070717482284,3849.507319821882,0.9987670217946354
C1,bg[6],0.031493012625816726,4.0242652026062364e-4,0.024636699107040732,-0.01664973717549279,0.014938669430209418,0.031872237819358704,0.04789249643706983,0.07913070766613187,3747.933288805619,0.9984252858672011
C1,bg[7],0.0027859885427938217,3.6742062895648095e-4,0.020410793760702234,-0.0356621184595213,-0.010861881050610006,0.002766181678888183,0.016093697012904095,0.044460550590279244,3085.977223319012,0.9996397122783182
C1,bg[8],-0.007313266565055955,5.842694812906992e-4,0.03948740083808686,-0.0840489825938667,-0.03427267032835244,-0.006767349791334609,0.019096781319996706,0.06920790625038341,4567.627643263114,0.9985631626606133
C1,bg[9],0.09472598276724582,1.6695842819337516e-4,0.009116342987725509,0.07608079800377711,0.0886813026958173,0.09481177635556995,0.10083344739262533,0.1123026051286323,2981.4300055029657,0.9991902828706487
C2,bg[1],0.01291213733917609,0.0011620511768751548,0.0694875113611319,-0.12106356078001014,-0.034660142929801026,0.011994343940866313,0.06181410892836408,0.1485065197169402,3575.715906028986,0.9996882527477845
C2,bg[2],-0.13519132871126302,0.0013260902235616848,0.08834239589890078,-0.30181836786895366,-0.1966443939988814,-0.13474869382916377,-0.07448188383354096,0.034358688325640735,4438.050096786887,0.9987050452864855
C2,bg[3],-0.06185742247596295,0.0014736724482446375,0.09798607485996425,-0.2546096691737347,-0.12485748899796999,-0.061577250252171506,0.004672806516438855,0.12538427222080653,4421.063918987802,0.9991143353976227
C2,bg[4],-0.09348058601924013,0.001418422996445977,0.08747247513069423,-0.2566846520281124,-0.1547693984668695,-0.09414386591887147,-0.036026132291074764,0.08441680214828585,3803.04359314291,0.9997578499538617
C2,bg[5],-0.054155183238786535,0.0015908679748304175,0.09657781335513421,-0.23743232565961442,-0.11835199427891238,-0.054014663487277986,0.008731566784880643,0.13732241670053932,3685.4154976640116,0.9999374748794638
C2,bg[6],-0.016796973122166634,0.0013762567436099871,0.08699853850564636,-0.1847369108796344,-0.07327307138532729,-0.015714358109151914,0.042395627135116125,0.153276680224733,3995.995530969983,0.9987866606173993
C2,bg[7],-0.07548813036827619,0.0014627336407957063,0.08765606801232317,-0.23844265658129782,-0.13350459961283867,-0.076608070781229,-0.015711063773323132,0.09713922492478207,3591.1493896797197,0.998956684436068
C2,bg[8],-0.027477131431953836,0.0015966400688330058,0.09873659824484736,-0.22167782228526006,-0.09494563113772163,-0.02949196444342292,0.03727194860656593,0.16989493771379136,3824.2147560909566,0.9991139438520742
C2,bg[9],0.249993537143552,8.130704800391371e-4,0.051081886887258086,0.15051720917848163,0.21438645637927795,0.2494750106770166,0.28450485501311984,0.35185769425128205,3947.0940531725596,0.9997582261318476
PZ,bg[1],0.018980917204070028,0.0018237009045605922,0.09446976970157374,-0.16061528002702866,-0.04588963434104477,0.019298820696726393,0.08301780441289341,0.19885118377777458,2683.357186491232,0.9990765762580293
PZ,bg[2],0.015213570433518809,0.002067609763199723,0.09901813054857296,-0.17841146811647135,-0.05157826854102,0.01637740052799762,0.08407536126055412,0.20536594453773935,2293.46595039104,1.0008455079078402
PZ,bg[3],-0.0014709730132521886,0.002292181014988179,0.09976563340922974,-0.19290705396177626,-0.06886383758196055,-0.00375606641460007,0.06596435891083602,0.19376114565409952,1894.3669409134625,1.0013623338684967
PZ,bg[4],-0.003735698326826611,0.0020602268330981014,0.09804529015428606,-0.19628108638123268,-0.06877005329663513,-0.004262032789621435,0.0598217973986179,0.18275055483968122,2264.766298004156,1.0004573708802695
PZ,bg[5],0.037112471908826196,0.0019143355933233224,0.09985941406040497,-0.16191106159018742,-0.031847559378737594,0.03584656834719446,0.10450520194365004,0.22548823598044174,2721.083559259776,1.0001411754218372
PZ,bg[6],-0.028350036228512142,0.0019336258905441506,0.0968515614879717,-0.21795207136718084,-0.09158705912106994,-0.026626436073493673,0.03597845518499779,0.1572809777977178,2508.8133331023187,0.9992519788896158
PZ,bg[7],0.0024435320748435593,0.001932632171478896,0.098115707427859,-0.1988906937606712,-0.06070037240018396,0.0023699850593177467,0.06686400300152635,0.1925359697671166,2577.3812785556456,0.9991161008982863
PZ,bg[8],-3.8752647871625085e-4,0.0019780832205537075,0.09893054733915661,-0.18863366965608633,-0.0676292514216026,-0.00328484440395317,0.0676271395438314,0.1965351512740711,2501.3341112727244,0.9983895385576905
PZ,bg[9],-0.041522727889021074,0.0017490135444193154,0.09614148926629532,-0.2305244108082001,-0.10597059450135665,-0.04271448593485531,0.022161514740206903,0.14928326509194545,3021.5886819957936,0.9987636497452549
PC1,bg[1],0.09724943248075343,0.0012465127140789025,0.0732263315756699,-0.04502958300596235,0.04840064579209442,0.09691549048777201,0.14727446978079486,0.23679689045632868,3450.969575850303,0.9991104298343731
PC1,bg[2],-0.08397590331490445,0.001463933898766146,0.08913462656444668,-0.26276043922490144,-0.1438303065995851,-0.08260945142807255,-0.02230547068011161,0.08744011716293551,3707.2336956507797,0.9991659681183412
PC1,bg[3],-0.02509911581757752,0.001673633020993922,0.09694304897606239,-0.21106399338531903,-0.0915341815789426,-0.02617194629870405,0.041143278241890555,0.16684413215106816,3355.1572337891453,0.9985958986220572
PC1,bg[4],0.07941550870385768,0.0014377187793312679,0.0882524637305679,-0.09345004130777411,0.020922813648121066,0.07821269558359567,0.13906854684436162,0.25268670344031446,3767.9556793568177,0.9988880257815619
PC1,bg[5],-0.06941016985911855,0.0015831458221360452,0.08730935092075601,-0.23757999460487397,-0.12741151935901135,-0.0712716631213422,-0.011902836256363496,0.10215899138537124,3041.4429935945705,0.9985765154684023
